isr_rank_mar21,team,isr_mar21
1,Auburn,132.8
2,Texas,131.2
3,UCLA,131.0
4,Southern California,128.9
5,Southern Mississippi,128.2
6,Mississippi,125.3
7,Cincinnati,124.8
8,Florida State,124.8
9,Louisiana-Lafayette,124.3
10,West Virginia,123.7
11,Kentucky,123.5
12,Georgia Tech,123.0
13,North Carolina,122.6
14,Florida,122.4
15,UC Santa Barbara,121.8
16,Oregon,121.8
17,Oregon State,121.6
18,Virginia,121.3
19,Mississippi State,121.2
20,Texas A&M,120.9
21,Kansas State,120.8
22,Missouri State,120.6
23,Arizona State,119.5
24,Georgia,119.0
25,Jacksonville State,118.9
26,Nebraska,118.5
27,Oklahoma,118.0
28,Arkansas State,117.9
29,South Florida,117.4
30,Alabama,117.3
31,Arkansas,117.2
32,Kent State,117.1
33,South Alabama,116.3
34,Central Florida,115.6
35,Tennessee,115.4
36,Purdue,115.4
37,Liberty,115.2
38,Mercer,115.2
39,Clemson,115.1
40,Louisiana Tech,115.1
41,Wake Forest,114.7
42,Southeast Missouri State,114.6
43,North Carolina State,114.3
44,Coastal Carolina,114.2
45,Michigan,114.1
46,Texas-San Antonio,114.1
47,Louisville,113.7
48,Notre Dame,113.7
49,Baylor,113.5
50,Cal Poly,113.5
51,Minnesota,113.3
52,UC San Diego,113.3
53,Pittsburgh,113.1
54,Rice,112.5
55,East Carolina,112.4
56,Nevada,112.3
57,Oklahoma State,111.8
58,NC Wilmington,111.8
59,Miami Florida,111.5
60,Alabama-Birmingham,111.5
61,Kansas,111.3
62,Virginia Tech,111.2
63,Boston College,111.2
64,Texas State,111.1
65,NC-Charlotte,111.1
66,Portland,111.0
67,Louisiana State,111.0
68,Illinois,110.9
69,Winthrop,110.6
70,Houston,110.1
71,California,109.8
72,Tarleton State,109.6
73,Maryland,109.5
74,UC Davis,109.5
75,Miami Ohio,109.4
76,California Baptist,109.3
77,Utah,109.3
78,Western Kentucky,109.1
79,Texas Christian,109.1
80,Florida Gulf Coast,108.9
81,Brigham Young,108.9
82,Charleston Southern,108.7
83,Texas Tech,108.1
84,Dallas Baptist,108.0
85,Troy,107.9
86,SC-Upstate,107.8
87,Western Carolina,107.2
88,Missouri,107.0
89,Kennesaw State,106.9
90,Rutgers,106.7
91,St. Mary's,106.6
92,Indiana,106.3
93,Iowa,106.1
94,San Diego,106.0
95,Creighton,105.9
96,Northwestern,105.8
97,Illinois State,105.7
98,Duke,105.7
99,South Carolina,105.5
100,Oral Roberts,105.5
101,VCU,105.3
102,Campbell,105.2
103,Wichita State,105.2
104,Nevada-Las Vegas,105.0
105,High Point,104.7
106,The Citadel,104.7
107,Southeastern Louisiana,104.6
108,Houston Christian,104.6
109,Santa Clara,104.5
110,Lamar,104.5
111,Texas-Rio Grande Valley,104.4
112,Longwood,104.3
113,Washington State,104.2
114,Cal State Northridge,104.1
115,Hawaii,103.7
116,Austin Peay State,103.3
117,Connecticut,103.3
118,Vanderbilt,103.3
119,Utah Tech,103.2
120,Wright State,103.0
121,Toledo,103.0
122,Georgia State,103.0
123,Southern Indiana,102.8
124,Florida Atlantic,102.8
125,Marshall,102.7
126,Bryant,102.6
127,Gonzaga,102.6
128,Arkansas-Little Rock,102.5
129,Cal State Fullerton,102.3
130,McNeese State,102.2
131,Western Michigan,102.1
132,Northwestern State,102.0
133,Bowling Green State,101.8
134,Columbia,101.7
135,Eastern Illinois,101.7
136,Michigan State,101.6
137,Central Arkansas,101.6
138,UC Irvine,101.5
139,New Mexico,101.5
140,Samford,101.5
141,Ohio State,101.1
142,East Tennessee State,100.9
143,San Diego State,100.4
144,Abilene Christian,100.4
145,Gardner-Webb,100.2
146,Middle Tennessee State,100.0
147,Tulane,100.0
148,Northern Illinois,99.9
149,Louisiana-Monroe,99.8
150,Sam Houston State,99.5
151,Stetson,99.5
152,Xavier,99.4
153,Stephen F. Austin State,99.4
154,Nicholls State,99.2
155,Stanford,99.1
156,Lipscomb,98.9
157,Rider,98.8
158,James Madison,98.7
159,Dayton,98.5
160,Northeastern,98.2
161,Air Force,98.2
162,North Alabama,98.1
163,Jacksonville,98.1
164,Northern Kentucky,97.9
165,St. John's,97.5
166,Wofford,97.4
167,Ball State,97.3
168,San Jose State,97.1
169,Pennsylvania,97.0
170,College of Charleston,97.0
171,Incarnate Word,96.9
172,Nebraska-Omaha,96.9
173,Delaware,96.7
174,St. Joseph's,96.5
175,Texas-Arlington,96.4
176,Old Dominion,96.4
177,Seton Hall,96.3
178,Princeton,96.2
179,Maryland-Baltimore County,96.2
180,Washington,96.2
181,Memphis,96.1
182,Fordham,96.1
183,Utah Valley,96.0
184,Central Michigan,96.0
185,Radford,96.0
186,CSU Bakersfield,96.0
187,Morehead State,95.9
188,Grand Canyon,95.7
189,Murray State,95.7
190,Bethune-Cookman,95.6
191,Long Beach State,95.6
192,Sacramento State,95.6
193,Arizona,95.3
194,George Mason,95.0
195,Elon,94.9
196,Evansville,94.9
197,Monmouth,94.6
198,North Florida,94.5
199,NC-Greensboro,94.5
200,Indiana State,94.4
201,Massachusetts-Lowell,94.3
202,Navy,94.3
203,Army,94.0
204,Lindenwood,94.0
205,Georgetown,93.9
206,Pacific,93.9
207,Loyola Marymount,93.7
208,San Francisco,93.6
209,SIU-Edwardsville,93.6
210,William & Mary,93.6
211,Merrimack,93.5
212,Southern Illinois,93.4
213,South Dakota State,93.3
214,Hofstra,93.3
215,Appalachian State,93.2
216,Davidson,93.0
217,Georgia Southern,93.0
218,Valparaiso,92.8
219,Eastern Kentucky,92.8
220,Belmont,92.5
221,Niagara,92.4
222,St. Louis,92.4
223,Texas A&M-Corpus Christi,92.2
224,Arkansas-Pine Bluff,91.9
225,Tennessee Tech,91.9
226,Richmond,91.9
227,New Mexico State,91.8
228,Binghamton,91.8
229,Youngstown State,91.7
230,Bucknell,91.4
231,Fresno State,91.2
232,Villanova,91.1
233,New Orleans,90.6
234,Wisconsin-Milwaukee,90.5
235,North Dakota State,90.4
236,Alabama State,90.3
237,Yale,90.1
238,West Georgia,90.0
239,VMI,89.8
240,Oakland,89.6
241,Fairleigh Dickinson,89.3
242,Fairfield,88.9
243,Brown,88.8
244,Bellarmine,88.5
245,Florida International,88.2
246,Stony Brook,87.9
247,Harvard,87.7
248,Siena,87.4
249,Akron,87.2
250,Tennessee-Martin,87.2
251,Penn State,87.1
252,Dartmouth,86.8
253,Pepperdine,86.7
254,Massachusetts,86.7
255,Maine,86.5
256,Holy Cross,86.4
257,UC Riverside,86.4
258,NC-Asheville,86.3
259,St. Thomas,86.2
260,Rhode Island,85.4
261,Texas Southern,84.9
262,Eastern Michigan,84.9
263,Illinois-Chicago,84.7
264,Southern,84.5
265,Mount St. Mary's,84.4
266,Wagner,84.1
267,Butler,84.0
268,Northern Colorado,83.9
269,LaSalle,83.7
270,Quinnipiac,83.5
271,Queens,83.4
272,Florida A&M,83.3
273,Sacred Heart,82.9
274,Bradley,82.7
275,Marist,81.8
276,St. Bonaventure,81.7
277,Grambling State,81.3
278,George Washington,81.2
279,Lafayette,80.6
280,Albany,79.4
281,LeMoyne,79.0
282,Ohio,79.0
283,Cornell,78.7
284,NC A&T,78.7
285,Western Illinois,78.5
286,Lehigh,78.3
287,Iona,78.2
288,New Jersey Tech,78.0
289,Towson,77.9
290,Jackson State,77.4
291,Seattle,76.5
292,Mississippi Valley State,76.4
293,LIU-Brooklyn,76.3
294,Alabama A&M,75.9
295,Manhattan,75.7
296,Prairie View A&M,75.4
297,Presbyterian College,74.7
298,Stonehill,74.0
299,Canisius,72.9
300,New Haven,71.3
301,Alcorn State,70.0
302,Central Connecticut State,69.0
303,Mercyhurst,67.7
304,Coppin State,65.5
305,St. Peter's,63.9
306,Norfolk State,61.9
307,Delaware State,58.6
308,Maryland-Eastern Shore,58.5
